t1.node,t2.node,est.net,ci.lower,ci.upper
IND,PHY,0,-0.0646897302763753,0.120825098969561
LIB,PHY,0,-0.119051778813093,0.0484298962812758
PHY,PHY,0.425571631897409,0.343066952227563,0.50565822657804
IMP,PHY,0,-0.128739054468803,0.058413513675515
TIR,PHY,0,-0.122683118394226,0.0668999622182736
WOR,PHY,0,-0.168311739674349,0.0489385422393352
ANH,PHY,0.123245807984911,0.0237508521566299,0.222299071255515
DIS,PHY,-0.123000172226471,-0.218560084398059,-0.0258855497026127
RES,PHY,0,-0.174325190473307,0.0317035764303188
SUI,PHY,0,-0.0866890089060029,0.0899321530822229
SAD,PHY,0,-0.114031475167823,0.0975144081913315
APP,PHY,0,-0.040328067156376,0.131076548220099
CON,PHY,0,-0.100934366062203,0.085032821353901
SLE,PHY,0,-0.149617669493882,0.031832237097165
TREAT,PHY,0,-0.172041417700812,0.140363022709334
BAD,IMP,0,-0.13019445429849,0.0815352682680814
ANX,IMP,0,-0.0959505996109458,0.11907960729511
AFR,IMP,0,-0.0511587937808436,0.140038304823734
FAI,IMP,0,-0.10804396159157,0.089398796021937
GUI,IMP,0,-0.147874196843461,0.045562013902273
PUN,IMP,0,-0.184772147439789,0.0168171572652175
CRY,IMP,0,-0.0611052433234478,0.121906702862117
IND,IMP,0,-0.0934404853165194,0.105741845005866
LIB,IMP,0,-0.164068694854278,0.0175525863986001
PHY,IMP,0,-0.137141053262016,0.038889537481238
IMP,IMP,0.284754025165076,0.183216985141454,0.385442782887061
TIR,IMP,0,-0.0501711418027906,0.154930749613017
WOR,IMP,0,-0.110169897686265,0.125405911431003
ANH,IMP,0,-0.192865915199444,0.0221170685642186
DIS,IMP,0,-0.124195110883271,0.0840650464791155
RES,IMP,0,-0.146641635693444,0.0755334542365469
SUI,IMP,0,-0.0913848905987271,0.0996565828194469
SAD,IMP,0,-0.0473655170776322,0.181089021527961
APP,IMP,0,-0.091000397132669,0.0948319478327186
CON,IMP,0,-0.0936377167165108,0.10787074818001
SLE,IMP,0,-0.086809012556355,0.109836261645962
TREAT,IMP,-0.122466927330738,-0.413628645940216,-0.075654112773333
BAD,TIR,0,-0.0356084676419818,0.157411634319201
